from,to,source,target
145,0,lc-sj1-3830.lvn.broadcom.net,AlarmTemplates{id=0, message='DEVICE DETECTED A COMMUNICATION LINK DOWN ON AN INTERFACE', host='lc-sj1-3830.lvn.broadcom.net', source='Dynatrace', service='service15', incidentId=1}
126,41,vmsjc-ops025_rh58.lvn.broadcom.net,AlarmTemplates{id=41, message='Profile NP01SOA3- instance NP01SOA3- tablespace DSOA14_CUSTOM has 0.55% (567.30 MB) free space available (autoext.:YES- chunks:39.00)', host='vmsjc-ops025_rh58.lvn.broadcom.net', source='Solarwinds', service='service2', incidentId=4}
177,42,wpdpfdsc01,AlarmTemplates{id=42, message='violation event raised mgmt profile name paysec interface discards deviation discards rule name discards', host='wpdpfdsc01', source='Spectrum', service='service2', incidentId=4}
75,43,wpvirvops004,AlarmTemplates{id=43, message='Server returned HTTP response code 401 for URL http://abc.com', host='wpvirvops004', source='UIM', service='service1', incidentId=4}
28,44,lnpvinrdb01.png.broadcom.net,AlarmTemplates{id=44, message='sssd: Process /usr/sbin/sssd/ is not running', host='lnpvinrdb01.png.broadcom.net', source='Solarwinds', service='service2', incidentId=4}
133,45,_10,AlarmTemplates{id=45, message='The alert GCPHeap1 has breached the MAJOR threshold of 8', host='_10', source='UIM', service='service14', incidentId=4}
151,46,sju-ll2-lab133-bvt-c2-sw16,AlarmTemplates{id=46, message='DEVICE abc-xyz.net HAS STOPPED RESPONDING TO POLLS', host='sju-ll2-lab133-bvt-c2-sw16', source='APM', service='service15', incidentId=4}
116,47,sju-ll2-lab133-bvt-d10-yellow-sw13,AlarmTemplates{id=47, message='The alert Heap Used Percent has breached the MAJOR threshold of 40', host='sju-ll2-lab133-bvt-d10-yellow-sw13', source='UIM', service='service13', incidentId=4}
95,48,SC5TFAPPSW0102_ae4,AlarmTemplates{id=48, message='The alert Response Time Variance Intensity has breached the MAJOR threshold of 25', host='SC5TFAPPSW0102_ae4', source='APMDatadog', service='service14', incidentId=4}
13,49,wsgpvmjmp01,AlarmTemplates{id=49, message='Disk Usage (%) on D:\ for D:\ is at 5.57 %.', host='wsgpvmjmp01', source='Spectrum', service='service2', incidentId=4}
40,50,lc-lvn-1503.lvn.broadcom.net,AlarmTemplates{id=50, message='CDM is running on bpel-vip.ash.broadcom.net- possibly duplicated data series in the QoS database', host='lc-lvn-1503.lvn.broadcom.net', source='Solarwinds', service='service14', incidentId=4}
60,51,lc-tlva-132.ihl.broadcom.net,AlarmTemplates{id=51, message='Profile MSSQLSERVER- instance ldcna1cht1- buffer cache hit-ratio (88.80%) is too low', host='lc-tlva-132.ihl.broadcom.net', source='Dynatrace', service='service16', incidentId=4}
117,52,LPDVCEDA02,AlarmTemplates{id=52, message='High Transmit Percent Utilization', host='LPDVCEDA02', source='Datadog', service='service3', incidentId=4}
166,53,wprdvmcucm01,AlarmTemplates{id=53, message='The alert Log Collector Consumer Group Lag Alert has breached the CRITICAL threshold of 200000', host='wprdvmcucm01', source='APM', service='service12', incidentId=4}
18,54,sjs-dns-1.broadcom.net,AlarmTemplates{id=54, message='The alert Service Metrics Anomaly Consumer Group Lag Alert has breached the CRITICAL threshold of 100000', host='sjs-dns-1.broadcom.net', source='NetOps', service='service15', incidentId=4}
44,55,lvn-lc-bcawlan-13.lvn.broadcom.net,AlarmTemplates{id=55, message='ASA Site-to-Site VPN tunnel down', host='lvn-lc-bcawlan-13.lvn.broadcom.net', source='APM', service='service9', incidentId=4}
161,56,lc-sj1-4145.lvn.broadcom.net,AlarmTemplates{id=56, message='DEVICE abc-xyz.net HAS STOPPED RESPONDING TO POLLS', host='lc-sj1-4145.lvn.broadcom.net', source='Solarwinds', service='service6', incidentId=4}
72,57,lvn-dcagg-3cr01c08sw01.nw-am.broadcom.net_Ethernet1/63,AlarmTemplates{id=57, message='Cellular Interface is Up', host='lvn-dcagg-3cr01c08sw01.nw-am.broadcom.net_Ethernet1/63', source='APM', service='service10', incidentId=4}
23,58,lc-lvn-1063.lvn.broadcom.net,AlarmTemplates{id=58, message='LINK UP/DOWN TRAPS RECEIVED IN THE LAST 5 MINUTES EXCEEDS THRESHOLD', host='lc-lvn-1063.lvn.broadcom.net', source='NetOps', service='service1', incidentId=4}
100,59,lc-sj1-5576.lvn.broadcom.net,AlarmTemplates{id=59, message='High packet loss', host='lc-sj1-5576.lvn.broadcom.net', source='UIM', service='service10', incidentId=4}
76,60,wpdvissjp02,AlarmTemplates{id=60, message='High Transmit Percent Utilization on Interface Vlan268 · L3 for ReplicationNetwork-1-1_vl.110_10.22.168.0/24 for node N7706-2-DC2_Spine-2', host='wpdvissjp02', source='Spectrum', service='service3', incidentId=4}
66,61,lc-sj1-4832.lvn.broadcom.net,AlarmTemplates{id=61, message='CPU Average Total Usage on Total for User is at 1.14 %.', host='lc-sj1-4832.lvn.broadcom.net', source='UIM', service='service15', incidentId=4}
164,62,gen-wan-sr1.nw-em.broadcom.net_Gi0/0/0,AlarmTemplates{id=62, message='violation event raised mgmt profile name paysec interface discards deviation discards rule name discards', host='gen-wan-sr1.nw-em.broadcom.net_Gi0/0/0', source='Datadog', service='service4', incidentId=4}
37,63,lc-lvn-1658.lvn.broadcom.net,AlarmTemplates{id=63, message='High Transmit Percent Utilization', host='lc-lvn-1658.lvn.broadcom.net', source='UIM', service='service4', incidentId=4}
106,64,lc-sj1-6148.lvn.broadcom.net,AlarmTemplates{id=64, message='High Transmit Percent Utilization', host='lc-sj1-6148.lvn.broadcom.net', source='NetOps', service='service4', incidentId=4}
101,65,lgh-wan-sr1.nw-ap.broadcom.net_Gi0/0/0,AlarmTemplates{id=65, message='Robot mnmjmp6405 is inactive', host='lgh-wan-sr1.nw-ap.broadcom.net_Gi0/0/0', source='Dynatrace', service='service9', incidentId=4}
162,66,wnpvokt02,AlarmTemplates{id=66, message='The alert CPU Throttling has breached the MAJOR threshold of 3000000000', host='wnpvokt02', source='UIM', service='service12', incidentId=4}
6,67,lc-sj1-4009.lvn.broadcom.net,AlarmTemplates{id=67, message='DEVICE IRV2-4-AP03 HAS STOPPED RESPONDING TO POLLS', host='lc-sj1-4009.lvn.broadcom.net', source='UIM', service='service5', incidentId=4}
90,68,SC5TFAPPSW0102_ge-0/0/21,AlarmTemplates{id=68, message='java-AdminServer: Process /AdminServer/ is not running', host='SC5TFAPPSW0102_ge-0/0/21', source='NetOps', service='service15', incidentId=4}
91,69,wnpvisstsap01,AlarmTemplates{id=69, message='percentage java heap used', host='wnpvisstsap01', source='NetOps', service='service1', incidentId=4}
152,70,wnpvisscmbeap2,AlarmTemplates{id=70, message='QOS_CPU_MULTI_USAGE on CPU-2 for User-2 is at 52.53 %.', host='wnpvisscmbeap2', source='NetOps', service='service11', incidentId=4}
146,71,lvn-dctor-7cr02c04sw01.nw-am.broadcom.net,AlarmTemplates{id=71, message='The alert ConnectionStatus has exceeded CRITICAL target of threshold 1', host='lvn-dctor-7cr02c04sw01.nw-am.broadcom.net', source='Solarwinds', service='service2', incidentId=4}
171,72,wlvnvmegc08,AlarmTemplates{id=72, message='The alert Service Metrics Anomaly Consumer Group Lag Alert has breached the CRITICAL threshold of 100000', host='wlvnvmegc08', source='Datadog', service='service15', incidentId=4}
107,73,lc-sj1-3936.lvn.broadcom.net,AlarmTemplates{id=73, message='ASA Site-to-Site VPN tunnel down', host='lc-sj1-3936.lvn.broadcom.net', source='APMDatadog', service='service2', incidentId=4}
169,74,wpdvpwc01,AlarmTemplates{id=74, message='16	root	localhost	limda_data	Query	12	Waiting for global read lock	UPDATE limda_data.calculations SET next_calc='20211113160500'- last_calc='20211113160400'- redo_start='0'- redo_stop='0' WHERE calc_id=1	0.000', host='wpdvpwc01', source='Solarwinds', service='service2', incidentId=4}
139,75,lc-sj1-4457.lvn.broadcom.net,AlarmTemplates{id=75, message='DEVICE IRV2-4-AP03 HAS STOPPED RESPONDING TO POLLS', host='lc-sj1-4457.lvn.broadcom.net', source='APM', service='service4', incidentId=4}
48,76,lpdvcodeinsight10.ash.broadcom.net,AlarmTemplates{id=76, message='Profile SQL102- instance admsqlc9n2\SQL102- AGRIS:  master: user 356 (NT AUTHORITY\SYSTEM) runs query for 614929.22 sec- sql text: sp_server_diagnostics', host='lpdvcodeinsight10.ash.broadcom.net', source='Datadog', service='service9', incidentId=4}
122,77,SC5TFAPPSW0102_ge-1/0/21,AlarmTemplates{id=77, message='CDM is running on bpel-vip.ash.broadcom.net- possibly duplicated data series in the QoS database', host='SC5TFAPPSW0102_ge-1/0/21', source='Solarwinds', service='service13', incidentId=4}
24,78,dvtmysql-sin-01.sgn.broadcom.net,AlarmTemplates{id=78, message='The alert Deployment Availablity has breached the MAJOR threshold of 0', host='dvtmysql-sin-01.sgn.broadcom.net', source='NetOps', service='service8', incidentId=4}
38,79,sju-ll2-cubicle-sw02,AlarmTemplates{id=79, message='DEVICE DETECTED A COMMUNICATION LINK DOWN ON AN INTERFACE', host='sju-ll2-cubicle-sw02', source='APMDatadog', service='service15', incidentId=4}
104,80,vmsjc-ops022_rh58.lvn.broadcom.net,AlarmTemplates{id=80, message='The alert Heap Used Percent has breached the MAJOR threshold of 40', host='vmsjc-ops022_rh58.lvn.broadcom.net', source='Spectrum', service='service10', incidentId=4}
80,81,banlcs128.ibn.broadcom.net,AlarmTemplates{id=81, message='sssd: Process /usr/sbin/sssd/ is not running', host='banlcs128.ibn.broadcom.net', source='NetOps', service='service1', incidentId=4}
38,82,sju-ll2-cubicle-sw02,AlarmTemplates{id=82, message='percentage java heap used', host='sju-ll2-cubicle-sw02', source='Datadog', service='service2', incidentId=4}
119,83,LPDVCEDA01,AlarmTemplates{id=83, message='sssd: Process /usr/sbin/sssd/ is not running', host='LPDVCEDA01', source='Solarwinds', service='service10', incidentId=4}
94,84,sdg-ll2-2f-mdf-a2027-sw1.nw-am.broadcom.net,AlarmTemplates{id=84, message='High Transmit Percent Utilization on Interface Vlan268 · L3 for ReplicationNetwork-1-1_vl.110_10.22.168.0/24 for node N7706-2-DC2_Spine-2', host='sdg-ll2-2f-mdf-a2027-sw1.nw-am.broadcom.net', source='Dynatrace', service='service14', incidentId=4}
98,85,lc-lvn-1504.lvn.broadcom.net,AlarmTemplates{id=85, message='Node is down', host='lc-lvn-1504.lvn.broadcom.net', source='APMDatadog', service='service9', incidentId=4}
61,86,lc-irv-3489.lvn.broadcom.net,AlarmTemplates{id=86, message='SWITCH FIBRE CHANNEL PORT SCAN', host='lc-irv-3489.lvn.broadcom.net', source='Spectrum', service='service3', incidentId=4}
16,87,lnpvnerp08.sgn.broadcom.net,AlarmTemplates{id=87, message='Cellular Interface is Up', host='lnpvnerp08.sgn.broadcom.net', source='APM', service='service12', incidentId=4}
29,88,lc-lvn-0404.lvn.broadcom.net,AlarmTemplates{id=88, message='The alert Frontend Errors has breached the MAJOR threshold of 1', host='lc-lvn-0404.lvn.broadcom.net', source='Solarwinds', service='service2', incidentId=4}
0,89,lnpvsubscw02.broadcom.com,AlarmTemplates{id=89, message='High Transmit Percent Utilization', host='lnpvsubscw02.broadcom.com', source='UIM', service='service12', incidentId=4}
30,90,wnpvtsf06,AlarmTemplates{id=90, message='The alert Deployment Availablity has breached the MAJOR threshold of 0', host='wnpvtsf06', source='UIM', service='service6', incidentId=4}
71,91,mvj-pfw-cm01.nw-ap.broadcom.net,AlarmTemplates{id=91, message='sssd: Process /usr/sbin/sssd/ is not running', host='mvj-pfw-cm01.nw-ap.broadcom.net', source='UIM', service='service15', incidentId=4}
25,92,lnpvela08.ash.broadcom.net,AlarmTemplates{id=92, message='Interface is down', host='lnpvela08.ash.broadcom.net', source='Dynatrace', service='service7', incidentId=4}
72,93,lvn-dcagg-3cr01c08sw01.nw-am.broadcom.net_Ethernet1/63,AlarmTemplates{id=93, message='Profile MAZNASQLTSTC1N2- instance MAZNASQLTSTC1N2- buffer cache hit-ratio (87.17%) is too low', host='lvn-dcagg-3cr01c08sw01.nw-am.broadcom.net_Ethernet1/63', source='Datadog', service='service12', incidentId=4}
62,94,ash-wan-eavbr1.nw-am.broadcom.net_Tu16149,AlarmTemplates{id=94, message='Cellular Interface is Up', host='ash-wan-eavbr1.nw-am.broadcom.net_Tu16149', source='APM', service='service11', incidentId=4}
178,95,tky-wan-eavbr1.nw-ap.broadcom.net_Gi0/0/0,AlarmTemplates{id=95, message='Connection to 'clmnacvma01' (ping) failed  (profile: clmnacvma01)', host='tky-wan-eavbr1.nw-ap.broadcom.net_Gi0/0/0', source='Datadog', service='service16', incidentId=4}
172,96,lc-blr-627.ibn.broadcom.net,AlarmTemplates{id=96, message='High response time', host='lc-blr-627.ibn.broadcom.net', source='Solarwinds', service='service10', incidentId=4}
39,97,lc-sj1-5853.lvn.broadcom.net,AlarmTemplates{id=97, message='ntpd_monitoring: Process ntpd not started- max starts 3 reached', host='lc-sj1-5853.lvn.broadcom.net', source='Solarwinds', service='service7', incidentId=4}
173,98,lc-lvn-1685.lvn.broadcom.net,AlarmTemplates{id=98, message='The alert Log Collector Consumer Group Lag Alert has breached the CRITICAL threshold of 200000', host='lc-lvn-1685.lvn.broadcom.net', source='Solarwinds', service='service10', incidentId=4}
127,99,cvc-wan-sr1.nw-am.broadcom.net_Gi0/0/0,AlarmTemplates{id=99, message='violation event raised ethernet1/30 profile name paysec interface discards deviation discards rule name discards', host='cvc-wan-sr1.nw-am.broadcom.net_Gi0/0/0', source='NetOps', service='service8', incidentId=4}
89,100,wpdvisscmbeap9,AlarmTemplates{id=100, message='Profile MSSQLSERVER- instance ldcna1cht1- buffer cache hit-ratio (88.80%) is too low', host='wpdvisscmbeap9', source='Solarwinds', service='service12', incidentId=4}
59,101,lc-lvn-1086.lvn.broadcom.net,AlarmTemplates{id=101, message='Broadcast alarm was triggered.', host='lc-lvn-1086.lvn.broadcom.net', source='APMDatadog', service='service2', incidentId=4}
51,102,vmsjc-ops016_rh58.lvn.broadcom.net,AlarmTemplates{id=102, message='Server returned HTTP response code 401 for URL http://abc.com', host='vmsjc-ops016_rh58.lvn.broadcom.net', source='Spectrum', service='service8', incidentId=4}
147,103,SC5TFBOFW02-5200_mgmt,AlarmTemplates{id=103, message='The alert Response Time Variance Intensity has breached the CRITICAL threshold of 5', host='SC5TFBOFW02-5200_mgmt', source='APM', service='service7', incidentId=4}
114,104,sdg-cas-mdfas02.nw-am.broadcom.net,AlarmTemplates{id=104, message='16	root	localhost	limda_data	Query	12	Waiting for global read lock	UPDATE limda_data.calculations SET next_calc='20211113160500'- last_calc='20211113160400'- redo_start='0'- redo_stop='0' WHERE calc_id=1	0.000', host='sdg-cas-mdfas02.nw-am.broadcom.net', source='NetOps', service='service8', incidentId=4}
41,105,LNPVEDSD01,AlarmTemplates{id=105, message='Server returned HTTP response code 401 for URL http://abc.com', host='LNPVEDSD01', source='APM', service='service2', incidentId=4}
98,106,lc-lvn-1504.lvn.broadcom.net,AlarmTemplates{id=106, message='A power outage was detected in server room 23', host='lc-lvn-1504.lvn.broadcom.net', source='APM', service='service4', incidentId=4}
58,107,ash-wan-sr3.nw-am.broadcom.net_Gi0/0/1,AlarmTemplates{id=107, message='DNS lookup of 'www.google.com' failed (type 'a') on nameserver 'sha-dns-1.broadcom.net' for profile 'sha-dns-1.broadcom.net'', host='ash-wan-sr3.nw-am.broadcom.net_Gi0/0/1', source='APMDatadog', service='service6', incidentId=4}
52,108,lc-lvn-1508.lvn.broadcom.net,AlarmTemplates{id=108, message='High response time', host='lc-lvn-1508.lvn.broadcom.net', source='Dynatrace', service='service1', incidentId=4}
107,109,lc-sj1-3936.lvn.broadcom.net,AlarmTemplates{id=109, message='The alert Memory Utilization has breached the CRITICAL threshold of 90', host='lc-sj1-3936.lvn.broadcom.net', source='NetOps', service='service8', incidentId=4}
131,110,ren-dctor-p4r02c03sw02,AlarmTemplates{id=110, message='Concurrent Invocations going to reach 5.0 pct', host='ren-dctor-p4r02c03sw02', source='APMDatadog', service='service6', incidentId=4}
109,111,wpdvjmp02,AlarmTemplates{id=111, message='CDM is running on bpel-vip.ash.broadcom.net- possibly duplicated data series in the QoS database', host='wpdvjmp02', source='APMDatadog', service='service6', incidentId=4}
26,112,lnpvbstws02.broadcom.com,AlarmTemplates{id=112, message='Profile SQL102- instance admsqlc9n2\SQL102- AGRIS:  master: user 356 (NT AUTHORITY\SYSTEM) runs query for 614929.22 sec- sql text: sp_server_diagnostics', host='lnpvbstws02.broadcom.com', source='NetOps', service='service1', incidentId=4}
54,113,lcs11-18.lvn.broadcom.net,AlarmTemplates{id=113, message='The alert Heap Used Percent has breached the MAJOR threshold of 40', host='lcs11-18.lvn.broadcom.net', source='UIM', service='service3', incidentId=4}
163,114,png-srstk9.nw-ap.broadcom.net,AlarmTemplates{id=114, message='DEVICE DETECTED A COMMUNICATION LINK DOWN ON AN INTERFACE', host='png-srstk9.nw-ap.broadcom.net', source='Dynatrace', service='service8', incidentId=4}
32,115,wsgpvmegc04,AlarmTemplates{id=115, message='Concurrent Invocations going to reach 5.0 pct', host='wsgpvmegc04', source='Dynatrace', service='service6', incidentId=4}
85,116,wpdvwsd15,AlarmTemplates{id=116, message='disk usage c exceeds', host='wpdvwsd15', source='APM', service='service3', incidentId=4}
42,117,mab-wan-sr1.nw-am.broadcom.net_Gi0/0/3,AlarmTemplates{id=117, message='The alert CPU Throttling has breached the CRITICAL threshold of 10000000000', host='mab-wan-sr1.nw-am.broadcom.net_Gi0/0/3', source='Solarwinds', service='service6', incidentId=4}
77,118,wyisvmgc02,AlarmTemplates{id=118, message='disk usage /bkp_qa_mongo_cohesity lnpvqbslmongo01.ash.broadcom.net', host='wyisvmgc02', source='Solarwinds', service='service4', incidentId=4}
84,119,wnpdvweb01,AlarmTemplates{id=119, message='disk usage /bkp_qa_mongo_cohesity lnpvqbslmongo01.ash.broadcom.net', host='wnpdvweb01', source='Dynatrace', service='service12', incidentId=4}
63,120,ash-wan-sr3.nw-am.broadcom.net_Gi0/0/5,AlarmTemplates{id=120, message='Interface is down', host='ash-wan-sr3.nw-am.broadcom.net_Gi0/0/5', source='Spectrum', service='service14', incidentId=4}
20,121,wac-wan-sr1.nw-am.broadcom.net_Gi0/0/0,AlarmTemplates{id=121, message='A power outage was detected in server room 23', host='wac-wan-sr1.nw-am.broadcom.net_Gi0/0/0', source='UIM', service='service10', incidentId=4}
148,122,brm-wan-sr1.nw-am.broadcom.net_Gi0/0/0,AlarmTemplates{id=122, message='java-AdminServer: Process /AdminServer/ is not running', host='brm-wan-sr1.nw-am.broadcom.net_Gi0/0/0', source='Dynatrace', service='service8', incidentId=4}
165,123,lc-lvn-1412.lvn.broadcom.net,AlarmTemplates{id=123, message='Profile MSSQLSERVER- instance ldcna1cht1- buffer cache hit-ratio (88.80%) is too low', host='lc-lvn-1412.lvn.broadcom.net', source='Datadog', service='service5', incidentId=4}
